"Variables ->","GDPC1"
"Comments ->","Real Gross Domestic Product"
"Class[Size] ->","Series[308-by-1]"
"1947Q1",2.18268100e+03
"1947Q2",2.17689200e+03
"1947Q3",2.17243200e+03
"1947Q4",2.20645200e+03
"1948Q1",2.23968200e+03
"1948Q2",2.27669000e+03
"1948Q3",2.28977000e+03
"1948Q4",2.29236400e+03
"1949Q1",2.26080700e+03
"1949Q2",2.25312800e+03
"1949Q3",2.27642400e+03
"1949Q4",2.25735200e+03
"1950Q1",2.34610400e+03
"1950Q2",2.41768200e+03
"1950Q3",2.51112700e+03
"1950Q4",2.55921400e+03
"1951Q1",2.59396700e+03
"1951Q2",2.63889800e+03
"1951Q3",2.69325900e+03
"1951Q4",2.69915600e+03
"1952Q1",2.72795400e+03
"1952Q2",2.73380000e+03
"1952Q3",2.75351700e+03
"1952Q4",2.84394100e+03
"1953Q1",2.89681100e+03
"1953Q2",2.91920600e+03
"1953Q3",2.90278500e+03
"1953Q4",2.85884500e+03
"1954Q1",2.84519200e+03
"1954Q2",2.84830500e+03
"1954Q3",2.88048200e+03
"1954Q4",2.93685200e+03
"1955Q1",3.02074600e+03
"1955Q2",3.06991000e+03
"1955Q3",3.11137900e+03
"1955Q4",3.13006800e+03
"1956Q1",3.11792200e+03
"1956Q2",3.14369400e+03
"1956Q3",3.14087400e+03
"1956Q4",3.19257000e+03
"1957Q1",3.21301100e+03
"1957Q2",3.20597000e+03
"1957Q3",3.23738600e+03
"1957Q4",3.20389400e+03
"1958Q1",3.12072400e+03
"1958Q2",3.14122400e+03
"1958Q3",3.21388400e+03
"1958Q4",3.28903200e+03
"1959Q1",3.35212900e+03
"1959Q2",3.42766700e+03
"1959Q3",3.43005700e+03
"1959Q4",3.43983200e+03
"1960Q1",3.51718100e+03
"1960Q2",3.49824600e+03
"1960Q3",3.51538500e+03
"1960Q4",3.47027800e+03
"1961Q1",3.49370300e+03
"1961Q2",3.55302100e+03
"1961Q3",3.62125200e+03
"1961Q4",3.69228900e+03
"1962Q1",3.75814700e+03
"1962Q2",3.79214900e+03
"1962Q3",3.83877600e+03
"1962Q4",3.85142100e+03
"1963Q1",3.89348200e+03
"1963Q2",3.93718300e+03
"1963Q3",4.02375500e+03
"1963Q4",4.05014700e+03
"1964Q1",4.13555300e+03
"1964Q2",4.18059200e+03
"1964Q3",4.24591800e+03
"1964Q4",4.25904600e+03
"1965Q1",4.36211100e+03
"1965Q2",4.41722500e+03
"1965Q3",4.51542700e+03
"1965Q4",4.61945800e+03
"1966Q1",4.73188800e+03
"1966Q2",4.74804600e+03
"1966Q3",4.78825400e+03
"1966Q4",4.82753700e+03
"1967Q1",4.87029900e+03
"1967Q2",4.87328700e+03
"1967Q3",4.91939200e+03
"1967Q4",4.95647700e+03
"1968Q1",5.05755300e+03
"1968Q2",5.14203300e+03
"1968Q3",5.18185900e+03
"1968Q4",5.20221200e+03
"1969Q1",5.28359700e+03
"1969Q2",5.29962500e+03
"1969Q3",5.33460000e+03
"1969Q4",5.30855600e+03
"1970Q1",5.30065200e+03
"1970Q2",5.30816400e+03
"1970Q3",5.35707700e+03
"1970Q4",5.29967200e+03
"1971Q1",5.44361900e+03
"1971Q2",5.47305900e+03
"1971Q3",5.51807200e+03
"1971Q4",5.53103200e+03
"1972Q1",5.63264900e+03
"1972Q2",5.76047000e+03
"1972Q3",5.81485400e+03
"1972Q4",5.91222000e+03
"1973Q1",6.05854400e+03
"1973Q2",6.12450600e+03
"1973Q3",6.09230100e+03
"1973Q4",6.15013100e+03
"1974Q1",6.09725800e+03
"1974Q2",6.11175100e+03
"1974Q3",6.05397800e+03
"1974Q4",6.03046400e+03
"1975Q1",5.95703500e+03
"1975Q2",5.99961000e+03
"1975Q3",6.10232600e+03
"1975Q4",6.18453000e+03
"1976Q1",6.32364900e+03
"1976Q2",6.37002500e+03
"1976Q3",6.40489500e+03
"1976Q4",6.45117700e+03
"1977Q1",6.52770300e+03
"1977Q2",6.65446600e+03
"1977Q3",6.77445700e+03
"1977Q4",6.77459200e+03
"1978Q1",6.79626000e+03
"1978Q2",7.05892000e+03
"1978Q3",7.12991500e+03
"1978Q4",7.22575000e+03
"1979Q1",7.23872700e+03
"1979Q2",7.24645400e+03
"1979Q3",7.30028100e+03
"1979Q4",7.31853500e+03
"1980Q1",7.34155700e+03
"1980Q2",7.19028900e+03
"1980Q3",7.18174300e+03
"1980Q4",7.31567700e+03
"1981Q1",7.45902200e+03
"1981Q2",7.40374500e+03
"1981Q3",7.49240500e+03
"1981Q4",7.41076800e+03
"1982Q1",7.29563100e+03
"1982Q2",7.32891200e+03
"1982Q3",7.30089600e+03
"1982Q4",7.30381700e+03
"1983Q1",7.40006600e+03
"1983Q2",7.56845600e+03
"1983Q3",7.71974600e+03
"1983Q4",7.88079400e+03
"1984Q1",8.03484700e+03
"1984Q2",8.17367000e+03
"1984Q3",8.25246500e+03
"1984Q4",8.32019900e+03
"1985Q1",8.40082000e+03
"1985Q2",8.47478700e+03
"1985Q3",8.60422000e+03
"1985Q4",8.66818800e+03
"1986Q1",8.74912700e+03
"1986Q2",8.78852400e+03
"1986Q3",8.87260100e+03
"1986Q4",8.92019300e+03
"1987Q1",8.98636700e+03
"1987Q2",9.08325600e+03
"1987Q3",9.16202400e+03
"1987Q4",9.31933200e+03
"1988Q1",9.36750200e+03
"1988Q2",9.49059400e+03
"1988Q3",9.54620600e+03
"1988Q4",9.67340500e+03
"1989Q1",9.77172500e+03
"1989Q2",9.84629300e+03
"1989Q3",9.91922800e+03
"1989Q4",9.93876700e+03
"1990Q1",1.00473860e+04
"1990Q2",1.00838550e+04
"1990Q3",1.00905690e+04
"1990Q4",9.99870400e+03
"1991Q1",9.95191600e+03
"1991Q2",1.00295100e+04
"1991Q3",1.00801950e+04
"1991Q4",1.01153290e+04
"1992Q1",1.02364350e+04
"1992Q2",1.03474290e+04
"1992Q3",1.04496730e+04
"1992Q4",1.05586480e+04
"1993Q1",1.05762750e+04
"1993Q2",1.06378470e+04
"1993Q3",1.06886060e+04
"1993Q4",1.08339870e+04
"1994Q1",1.09391160e+04
"1994Q2",1.10873610e+04
"1994Q3",1.11521760e+04
"1994Q4",1.12799320e+04
"1995Q1",1.13199510e+04
"1995Q2",1.13537210e+04
"1995Q3",1.14503100e+04
"1995Q4",1.15280670e+04
"1996Q1",1.16144180e+04
"1996Q2",1.18081400e+04
"1996Q3",1.19140630e+04
"1996Q4",1.20377750e+04
"1997Q1",1.21154720e+04
"1997Q2",1.23172210e+04
"1997Q3",1.24710100e+04
"1997Q4",1.25774950e+04
"1998Q1",1.27037420e+04
"1998Q2",1.28213390e+04
"1998Q3",1.29827520e+04
"1998Q4",1.31916700e+04
"1999Q1",1.33155970e+04
"1999Q2",1.34267480e+04
"1999Q3",1.36047710e+04
"1999Q4",1.38279800e+04
"2000Q1",1.38781470e+04
"2000Q2",1.41309080e+04
"2000Q3",1.41453120e+04
"2000Q4",1.42297650e+04
"2001Q1",1.41831200e+04
"2001Q2",1.42716940e+04
"2001Q3",1.42145160e+04
"2001Q4",1.42535740e+04
"2002Q1",1.43727850e+04
"2002Q2",1.44608480e+04
"2002Q3",1.45196330e+04
"2002Q4",1.45375800e+04
"2003Q1",1.46141410e+04
"2003Q2",1.47435670e+04
"2003Q3",1.49887820e+04
"2003Q4",1.51627600e+04
"2004Q1",1.52486800e+04
"2004Q2",1.53668500e+04
"2004Q3",1.55126190e+04
"2004Q4",1.56708800e+04
"2005Q1",1.58447270e+04
"2005Q2",1.59227820e+04
"2005Q3",1.60475870e+04
"2005Q4",1.61367340e+04
"2006Q1",1.63538350e+04
"2006Q2",1.63961510e+04
"2006Q3",1.64207380e+04
"2006Q4",1.65618660e+04
"2007Q1",1.66116900e+04
"2007Q2",1.67133140e+04
"2007Q3",1.68095870e+04
"2007Q4",1.69151910e+04
"2008Q1",1.68430030e+04
"2008Q2",1.69432910e+04
"2008Q3",1.68542950e+04
"2008Q4",1.64853500e+04
"2009Q1",1.62982620e+04
"2009Q2",1.62691450e+04
"2009Q3",1.63262810e+04
"2009Q4",1.65027540e+04
"2010Q1",1.65827100e+04
"2010Q2",1.67431620e+04
"2010Q3",1.68722660e+04
"2010Q4",1.69608640e+04
"2011Q1",1.69206320e+04
"2011Q2",1.70351140e+04
"2011Q3",1.70313130e+04
"2011Q4",1.72225830e+04
"2012Q1",1.73670100e+04
"2012Q2",1.74445250e+04
"2012Q3",1.74696500e+04
"2012Q4",1.74898520e+04
"2013Q1",1.76624000e+04
"2013Q2",1.77096710e+04
"2013Q3",1.78604500e+04
"2013Q4",1.80161470e+04
"2014Q1",1.79539740e+04
"2014Q2",1.81859110e+04
"2014Q3",1.84069410e+04
"2014Q4",1.85000310e+04
"2015Q1",1.86666210e+04
"2015Q2",1.87822430e+04
"2015Q3",1.88574180e+04
"2015Q4",1.88922060e+04
"2016Q1",1.90016900e+04
"2016Q2",1.90627090e+04
"2016Q3",1.91979380e+04
"2016Q4",1.93043520e+04
"2017Q1",1.93983430e+04
"2017Q2",1.95069490e+04
"2017Q3",1.96607660e+04
"2017Q4",1.98823520e+04
"2018Q1",2.00440770e+04
"2018Q2",2.01504760e+04
"2018Q3",2.02761540e+04
"2018Q4",2.03048740e+04
"2019Q1",2.04151500e+04
"2019Q2",2.05845280e+04
"2019Q3",2.08175810e+04
"2019Q4",2.09510880e+04
"2020Q1",2.06655530e+04
"2020Q2",1.90348300e+04
"2020Q3",2.05117850e+04
"2020Q4",2.07241280e+04
"2021Q1",2.09905410e+04
"2021Q2",2.13095440e+04
"2021Q3",2.14830830e+04
"2021Q4",2.18476020e+04
"2022Q1",2.17388710e+04
"2022Q2",2.17081600e+04
"2022Q3",2.18511340e+04
"2022Q4",2.19899810e+04
"2023Q1",2.21123290e+04
"2023Q2",2.22253500e+04
"2023Q3",2.24906920e+04
"2023Q4",2.26689860e+04